Algorithm,trials,success_rate_pct
Greedy,156,83.33333333333334
A*,156,82.6923076923077
ZEN,156,82.6923076923077
Weighted A*,156,82.6923076923077
Risk-Penalized Greedy,156,82.6923076923077
Risk-Penalized A*,156,81.41025641025641
DFS,156,79.48717948717949
Risk-Penalized Dijkstra,156,77.56410256410257
BFS,156,76.28205128205127
Dijkstra,156,76.28205128205127
Chance-Constrained A*,156,14.743589743589745
CVaR A*,156,14.743589743589745
