Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak202d.map,229,1668,1,0,6.560816982528195,163.0
A*,lak202d.map,229,2213,1,0,4.611538985045627,883.0
Weighted A*,lak202d.map,249,841,1,0,2.1894739766139537,1049.0
Chance-Constrained A*,lak202d.map,0,115753,0,0,504.38713998300955,0.0
CVaR A*,lak202d.map,0,115753,0,0,561.6787869948894,0.0
Risk-Penalized A*,lak202d.map,231,4107,1,0,9.60375799331814,153.0
Risk-Penalized Dijkstra,lak202d.map,231,5309,1,0,11.556912009837106,153.0
Risk-Penalized Greedy,lak202d.map,267,727,1,0,1.6469880065415055,291.0
BFS,lak202d.map,229,5432,1,0,5.842162005137652,883.0
DFS,lak202d.map,943,5652,1,0,5.201029998715967,2380.0
Dijkstra,lak202d.map,229,5403,1,0,9.93383300374262,883.0
Greedy,lak202d.map,313,676,1,0,1.3286259782034904,1757.0
