Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,ost004d.map,87,87,1,0,0.43799099512398243,0.0
A*,ost004d.map,87,1543,1,0,3.5504790139384568,157.0
Weighted A*,ost004d.map,87,87,1,0,0.2844099944923073,157.0
Chance-Constrained A*,ost004d.map,0,28225,0,0,113.11030300566927,0.0
CVaR A*,ost004d.map,0,28225,0,0,124.64381699101068,0.0
Risk-Penalized A*,ost004d.map,87,1366,1,0,3.820268000708893,0.0
Risk-Penalized Dijkstra,ost004d.map,87,3867,1,0,9.972447995096445,0.0
Risk-Penalized Greedy,ost004d.map,87,87,1,0,0.29913499020040035,0.0
BFS,ost004d.map,87,3963,1,0,4.515894019277766,157.0
DFS,ost004d.map,1333,3451,1,0,2.4150069802999496,1220.0
Dijkstra,ost004d.map,87,3930,1,0,8.468551997793838,157.0
Greedy,ost004d.map,87,87,1,0,0.270824006292969,157.0
