Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak403d.map,213,3108,1,0,11.566755012609065,870.0
A*,lak403d.map,213,3123,1,0,7.381764007732272,937.0
Weighted A*,lak403d.map,215,1242,1,0,3.3415950019843876,940.0
Chance-Constrained A*,lak403d.map,213,519390,1,0,2840.9597179852426,592.0
CVaR A*,lak403d.map,213,519390,1,0,3244.7837150248233,592.0
Risk-Penalized A*,lak403d.map,217,17575,1,0,53.57561699929647,177.0
Risk-Penalized Dijkstra,lak403d.map,217,24939,1,0,75.10063500376418,177.0
Risk-Penalized Greedy,lak403d.map,255,705,1,0,1.870133011834696,247.0
BFS,lak403d.map,213,23280,1,0,32.20783997676335,976.0
DFS,lak403d.map,801,13506,1,0,15.605749998940155,1343.0
Dijkstra,lak403d.map,213,23228,1,0,55.90870801825076,659.0
Greedy,lak403d.map,247,587,1,0,1.3918940094299614,1120.0
