Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak519d.map,115,1116,1,0,4.568934004055336,78.0
A*,lak519d.map,115,1236,1,0,2.6685509947128594,272.0
Weighted A*,lak519d.map,117,205,1,0,0.605538982199505,288.0
Chance-Constrained A*,lak519d.map,0,97441,0,0,429.92950102780014,0.0
CVaR A*,lak519d.map,0,97441,0,0,442.31915700947866,0.0
Risk-Penalized A*,lak519d.map,119,2117,1,0,5.3371909889392555,13.0
Risk-Penalized Dijkstra,lak519d.map,119,12043,1,0,61.96928001008928,13.0
Risk-Penalized Greedy,lak519d.map,145,189,1,0,0.5197039863560349,158.0
BFS,lak519d.map,115,12261,1,0,14.042991999303922,272.0
DFS,lak519d.map,1795,12775,1,0,12.968595983693376,3054.0
Dijkstra,lak519d.map,115,12204,1,0,25.56494198506698,272.0
Greedy,lak519d.map,141,180,1,0,0.44281798182055354,511.0
