Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,brc300d.map,0,979,0,0,2.1109279769007117,0.0
A*,brc300d.map,0,979,0,0,1.7454219923820347,0.0
Weighted A*,brc300d.map,0,979,0,0,1.794061012333259,0.0
Chance-Constrained A*,brc300d.map,0,361873,0,0,1705.360641994048,0.0
CVaR A*,brc300d.map,0,361873,0,0,1806.6308540001046,0.0
Risk-Penalized A*,brc300d.map,0,979,0,0,2.3677219869568944,0.0
Risk-Penalized Dijkstra,brc300d.map,0,979,0,0,1.8548750085756183,0.0
Risk-Penalized Greedy,brc300d.map,0,979,0,0,1.569416985148564,0.0
BFS,brc300d.map,0,979,0,0,0.825254013761878,0.0
DFS,brc300d.map,0,979,0,0,0.949385022977367,0.0
Dijkstra,brc300d.map,0,979,0,0,1.456397003494203,0.0
Greedy,brc300d.map,0,979,0,0,1.424749003490433,0.0
