Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lgt604d.map,232,6141,1,0,17.960930010303855,274.0
A*,lgt604d.map,232,6223,1,0,13.238101004390046,835.0
Weighted A*,lgt604d.map,254,3306,1,0,10.167610977077857,1111.0
Chance-Constrained A*,lgt604d.map,0,260065,0,0,1277.44585898472,0.0
CVaR A*,lgt604d.map,0,260065,0,0,1445.442294003442,0.0
Risk-Penalized A*,lgt604d.map,236,6955,1,0,18.543461977969855,28.0
Risk-Penalized Dijkstra,lgt604d.map,236,10400,1,0,26.800046005519107,28.0
Risk-Penalized Greedy,lgt604d.map,334,1163,1,0,2.730243984842673,180.0
BFS,lgt604d.map,232,10385,1,0,11.59204900613986,925.0
DFS,lgt604d.map,1884,10394,1,0,9.855191980022937,3626.0
Dijkstra,lgt604d.map,232,10379,1,0,20.47688700258732,835.0
Greedy,lgt604d.map,334,1072,1,0,2.179321978474036,2216.0
