Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,den204d.map,49,106,1,0,0.44435798190534115,37.0
A*,den204d.map,49,106,1,0,0.2656370052136481,38.0
Weighted A*,den204d.map,49,49,1,0,0.1626310113351792,38.0
Chance-Constrained A*,den204d.map,49,517,1,0,2.395758987404406,37.0
CVaR A*,den204d.map,49,517,1,0,2.221853006631136,37.0
Risk-Penalized A*,den204d.map,53,589,1,0,1.6387719952035695,17.0
Risk-Penalized Dijkstra,den204d.map,53,2408,1,0,5.923310003709048,17.0
Risk-Penalized Greedy,den204d.map,49,59,1,0,0.17570098862051964,37.0
BFS,den204d.map,49,2360,1,0,2.5645039859227836,56.0
DFS,den204d.map,865,2766,1,0,2.1836759988218546,1841.0
Dijkstra,den204d.map,49,2360,1,0,4.8392640019301325,38.0
Greedy,den204d.map,49,49,1,0,0.1400889887008816,38.0
