Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,oth001d.map,63,382,1,0,1.155632024165243,5.0
A*,oth001d.map,63,695,1,0,1.4875350170768797,166.0
Weighted A*,oth001d.map,63,63,1,0,0.20087099983356893,166.0
Chance-Constrained A*,oth001d.map,63,112690,1,0,524.2206869879737,5.0
CVaR A*,oth001d.map,63,112690,1,0,621.1859259929042,5.0
Risk-Penalized A*,oth001d.map,65,441,1,0,1.37421497493051,2.0
Risk-Penalized Dijkstra,oth001d.map,65,2169,1,0,5.066826997790486,2.0
Risk-Penalized Greedy,oth001d.map,67,67,1,0,0.1970639859791845,15.0
BFS,oth001d.map,63,2253,1,0,2.501281996956095,430.0
DFS,oth001d.map,753,2256,1,0,1.771979994373396,1905.0
Dijkstra,oth001d.map,63,2234,1,0,4.4800330069847405,166.0
Greedy,oth001d.map,63,63,1,0,0.17450901214033365,166.0
