Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,orz702d.map,729,16986,1,0,92.04369300277904,75.0
A*,orz702d.map,729,23324,1,0,66.29874798818491,3822.0
Weighted A*,orz702d.map,819,8500,1,0,28.454758023144677,4485.0
Chance-Constrained A*,orz702d.map,0,2696809,0,0,20261.801215994637,0.0
CVaR A*,orz702d.map,0,2696809,0,0,21427.560982992873,0.0
Risk-Penalized A*,orz702d.map,733,27524,1,0,93.04281699587591,31.0
Risk-Penalized Dijkstra,orz702d.map,733,56090,1,0,168.9429200196173,31.0
Risk-Penalized Greedy,orz702d.map,977,6823,1,0,17.86096897558309,673.0
BFS,orz702d.map,729,58222,1,0,82.54199801012874,3822.0
DFS,orz702d.map,3289,60190,1,0,80.61303099384531,7426.0
Dijkstra,orz702d.map,729,58100,1,0,141.96892399922945,3822.0
Greedy,orz702d.map,1087,7108,1,0,16.922134993365034,6220.0
