Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak250d.map,94,566,1,0,2.0177749975118786,44.0
A*,lak250d.map,94,603,1,0,1.199732010718435,511.0
Weighted A*,lak250d.map,94,109,1,0,0.2924980071838945,511.0
Chance-Constrained A*,lak250d.map,94,165164,1,0,719.0608070231974,44.0
CVaR A*,lak250d.map,94,165164,1,0,822.3564260115381,44.0
Risk-Penalized A*,lak250d.map,98,1185,1,0,2.6841009967029095,34.0
Risk-Penalized Dijkstra,lak250d.map,98,1515,1,0,3.050819010240957,34.0
Risk-Penalized Greedy,lak250d.map,94,105,1,0,0.26215697289444506,49.0
BFS,lak250d.map,94,1469,1,0,2.108743996359408,511.0
DFS,lak250d.map,480,1147,1,0,0.7053250155877322,1556.0
Dijkstra,lak250d.map,94,1459,1,0,2.486078010406345,511.0
Greedy,lak250d.map,100,103,1,0,0.2217479923274368,614.0
