Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,den203d.map,69,604,1,0,1.583796984050423,162.0
A*,den203d.map,69,674,1,0,1.3142889947630465,263.0
Weighted A*,den203d.map,69,402,1,0,1.0146080167032778,263.0
Chance-Constrained A*,den203d.map,0,28645,0,0,107.29993198765442,0.0
CVaR A*,den203d.map,0,28645,0,0,126.40704298974015,0.0
Risk-Penalized A*,den203d.map,69,928,1,0,2.4387970042880625,96.0
Risk-Penalized Dijkstra,den203d.map,69,1545,1,0,3.514307987643406,96.0
Risk-Penalized Greedy,den203d.map,73,299,1,0,0.6737110088579357,108.0
BFS,den203d.map,69,1607,1,0,1.7270930111408234,314.0
DFS,den203d.map,295,678,1,0,0.44805099605582654,990.0
Dijkstra,den203d.map,69,1553,1,0,2.8181810048408806,263.0
Greedy,den203d.map,71,138,1,0,0.2913890057243407,291.0
