Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,den312d.map,100,199,1,0,0.7456479943357408,256.0
A*,den312d.map,100,199,1,0,0.4656999954022467,261.0
Weighted A*,den312d.map,100,100,1,0,0.5291909910738468,261.0
Chance-Constrained A*,den312d.map,100,10015,1,0,59.91011700825766,256.0
CVaR A*,den312d.map,100,10015,1,0,62.47518301825039,256.0
Risk-Penalized A*,den312d.map,0,0,0,0,0.0,0.0
Risk-Penalized Dijkstra,den312d.map,0,0,0,0,0.0,0.0
Risk-Penalized Greedy,den312d.map,104,129,1,0,0.8417209901381284,184.0
BFS,den312d.map,0,0,0,0,0.0,0.0
DFS,den312d.map,222,489,1,0,0.6665740220341831,793.0
Dijkstra,den312d.map,0,0,0,0,0.0,0.0
Greedy,den312d.map,100,100,1,0,0.5623640026897192,261.0
