Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,orz304d.map,115,475,1,0,1.4372500008903444,143.0
A*,orz304d.map,115,546,1,0,1.1129430204164237,143.0
Weighted A*,orz304d.map,115,142,1,0,0.39525600732304156,143.0
Chance-Constrained A*,orz304d.map,0,46501,0,0,226.80261000641622,0.0
CVaR A*,orz304d.map,0,46501,0,0,204.66831099474803,0.0
Risk-Penalized A*,orz304d.map,117,1463,1,0,3.3569280058145523,50.0
Risk-Penalized Dijkstra,orz304d.map,117,4449,1,0,10.33572299638763,50.0
Risk-Penalized Greedy,orz304d.map,117,127,1,0,0.3586479870136827,84.0
BFS,orz304d.map,115,4678,1,0,4.6785140002612025,157.0
DFS,orz304d.map,235,4745,1,0,4.952411021804437,423.0
Dijkstra,orz304d.map,115,4628,1,0,8.009547018446028,88.0
Greedy,orz304d.map,115,123,1,0,0.2999040007125586,143.0
