Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak308d.map,335,1795,1,0,11.82403598795645,31.0
A*,lak308d.map,335,3047,1,0,10.071371012600139,1481.0
Weighted A*,lak308d.map,351,409,1,0,2.22260199370794,2305.0
Chance-Constrained A*,lak308d.map,0,386209,0,0,1946.6956540127285,0.0
CVaR A*,lak308d.map,0,386209,0,0,2060.5088050069753,0.0
Risk-Penalized A*,lak308d.map,337,1908,1,0,4.816470987861976,16.0
Risk-Penalized Dijkstra,lak308d.map,337,10282,1,0,24.77694398839958,16.0
Risk-Penalized Greedy,lak308d.map,355,362,1,0,1.1707360099535435,215.0
BFS,lak308d.map,335,10800,1,0,12.769649998517707,1462.0
DFS,lak308d.map,1199,10538,1,0,10.789379011839628,4415.0
Dijkstra,lak308d.map,335,10791,1,0,21.119323006132618,1481.0
Greedy,lak308d.map,357,363,1,0,0.9358279930893332,2412.0
