Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak104d.map,39,155,1,0,0.4867569950874895,91.0
A*,lak104d.map,39,160,1,0,0.44304298353381455,216.0
Weighted A*,lak104d.map,41,42,1,0,0.12565299402922392,223.0
Chance-Constrained A*,lak104d.map,0,6725,0,0,26.059319992782548,0.0
CVaR A*,lak104d.map,0,6725,0,0,28.576431999681517,0.0
Risk-Penalized A*,lak104d.map,51,679,1,0,1.7703890043776482,61.0
Risk-Penalized Dijkstra,lak104d.map,51,843,1,0,1.9173899781890213,61.0
Risk-Penalized Greedy,lak104d.map,53,95,1,0,0.23137900279834867,73.0
BFS,lak104d.map,39,846,1,0,0.9085540077649057,205.0
DFS,lak104d.map,263,810,1,0,0.6277229986153543,807.0
Dijkstra,lak104d.map,39,836,1,0,1.5378310054074973,216.0
Greedy,lak104d.map,41,42,1,0,0.10249699698761106,223.0
