Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,orz201d.map,59,296,1,0,0.9986519871745259,173.0
A*,orz201d.map,59,334,1,0,0.7174810161814094,303.0
Weighted A*,orz201d.map,59,75,1,0,0.17815400497056544,303.0
Chance-Constrained A*,orz201d.map,0,8461,0,0,29.149795998819172,0.0
CVaR A*,orz201d.map,0,8461,0,0,34.91848899284378,0.0
Risk-Penalized A*,orz201d.map,65,579,1,0,1.9007829832844436,120.0
Risk-Penalized Dijkstra,orz201d.map,65,674,1,0,1.6276859969366342,120.0
Risk-Penalized Greedy,orz201d.map,61,137,1,0,0.3706179850269109,153.0
BFS,orz201d.map,59,671,1,0,0.7194970094133168,309.0
DFS,orz201d.map,195,595,1,0,0.4640190163627267,609.0
Dijkstra,orz201d.map,59,671,1,0,1.1264010099694133,271.0
Greedy,orz201d.map,59,72,1,0,0.15601899940520525,303.0
