Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,lak512d.map,707,12237,1,0,40.86999600986019,913.0
A*,lak512d.map,707,12439,1,0,31.418914993992075,1983.0
Weighted A*,lak512d.map,715,7780,1,0,22.271008987445384,2250.0
Chance-Constrained A*,lak512d.map,0,781705,0,0,4229.324865998933,0.0
CVaR A*,lak512d.map,0,781705,0,0,4640.602995001245,0.0
Risk-Penalized A*,lak512d.map,717,16958,1,0,49.81522398884408,200.0
Risk-Penalized Dijkstra,lak512d.map,717,23289,1,0,63.72419698163867,200.0
Risk-Penalized Greedy,lak512d.map,777,4226,1,0,10.882739996304736,414.0
BFS,lak512d.map,707,23333,1,0,30.562986008590087,1940.0
DFS,lak512d.map,3651,15661,1,0,15.151806990616024,7551.0
Dijkstra,lak512d.map,707,23313,1,0,50.9635099733714,1963.0
Greedy,lak512d.map,789,4177,1,0,10.050770011730492,3126.0
