Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Moscow_0_256.map,401,18292,1,0,278.78939200309105,76.0
A*,Moscow_0_256.map,401,18428,1,0,126.61267298972234,1615.0
Weighted A*,Moscow_0_256.map,413,739,1,0,5.698135995771736,1655.0
Chance-Constrained A*,Moscow_0_256.map,0,262145,0,0,3863.009388005594,0.0
CVaR A*,Moscow_0_256.map,0,262145,0,0,4390.228627016768,0.0
Risk-Penalized A*,Moscow_0_256.map,405,19006,1,0,179.74825701094232,10.0
Risk-Penalized Dijkstra,Moscow_0_256.map,405,47062,1,0,381.64126497576945,10.0
Risk-Penalized Greedy,Moscow_0_256.map,435,444,1,0,7.802370004355907,237.0
BFS,Moscow_0_256.map,401,47182,1,0,152.8062889992725,1616.0
DFS,Moscow_0_256.map,5217,25964,1,0,75.615726003889,11582.0
Dijkstra,Moscow_0_256.map,401,47151,1,0,313.0549869965762,1595.0
Greedy,Moscow_0_256.map,453,472,1,0,3.3352299942635,2219.0
