Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Boston_1_256.map,384,14434,1,0,133.26769799459726,167.0
A*,Boston_1_256.map,384,21926,1,0,144.29008300066926,1314.0
Weighted A*,Boston_1_256.map,390,1308,1,0,8.382105006603524,1329.0
Chance-Constrained A*,Boston_1_256.map,0,262145,0,0,4426.498770975741,0.0
CVaR A*,Boston_1_256.map,0,262145,0,0,4457.221311982721,0.0
Risk-Penalized A*,Boston_1_256.map,388,14566,1,0,116.5763339959085,0.0
Risk-Penalized Dijkstra,Boston_1_256.map,388,46708,1,0,358.1964169861749,0.0
Risk-Penalized Greedy,Boston_1_256.map,464,1504,1,0,9.05606200103648,117.0
BFS,Boston_1_256.map,384,46970,1,0,163.3332750061527,1289.0
DFS,Boston_1_256.map,5570,18931,1,0,42.687943001510575,10542.0
Dijkstra,Boston_1_256.map,384,46907,1,0,275.2210720209405,1307.0
Greedy,Boston_1_256.map,466,1471,1,0,7.6440220000222325,1587.0
