Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,NewYork_2_1024.map,1215,1565,1,0,30.721231014467776,0.0
A*,NewYork_2_1024.map,1215,135702,1,0,1189.8986369778868,3811.0
Weighted A*,NewYork_2_1024.map,1233,1530,1,0,15.686219005146995,3872.0
Chance-Constrained A*,NewYork_2_1024.map,0,4194305,0,0,129425.21140299505,0.0
CVaR A*,NewYork_2_1024.map,0,4194305,0,0,190738.14873900847,0.0
Risk-Penalized A*,NewYork_2_1024.map,1215,131926,1,0,1275.8688110043295,0.0
Risk-Penalized Dijkstra,NewYork_2_1024.map,1215,661325,1,0,7287.561224016827,0.0
Risk-Penalized Greedy,NewYork_2_1024.map,1261,1261,1,0,12.783426995156333,214.0
BFS,NewYork_2_1024.map,1215,675611,1,0,3171.6149100102484,3811.0
DFS,NewYork_2_1024.map,62663,179072,1,0,609.5210899948142,33905.0
Dijkstra,NewYork_2_1024.map,1215,674229,1,0,6015.810837998288,3811.0
Greedy,NewYork_2_1024.map,1273,1275,1,0,10.559182002907619,4513.0
