Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Paris_2_1024.map,1294,188794,1,0,2031.3578940113075,0.0
A*,Paris_2_1024.map,1294,198803,1,0,1744.3174030049704,53.0
Weighted A*,Paris_2_1024.map,1294,1294,1,0,17.46473798993975,53.0
Chance-Constrained A*,Paris_2_1024.map,0,4194305,0,0,100410.84138999577,0.0
CVaR A*,Paris_2_1024.map,0,4194305,0,0,103426.48471801658,0.0
Risk-Penalized A*,Paris_2_1024.map,1294,188794,1,0,1156.5385730064008,0.0
Risk-Penalized Dijkstra,Paris_2_1024.map,1294,726498,1,0,4444.8749590083025,0.0
Risk-Penalized Greedy,Paris_2_1024.map,1294,1294,1,0,7.121978997020051,0.0
BFS,Paris_2_1024.map,1294,731195,1,0,1906.310227990616,5363.0
DFS,Paris_2_1024.map,113686,660430,1,0,1553.5135099780746,47303.0
Dijkstra,Paris_2_1024.map,1294,730825,1,0,3666.1964549857657,53.0
Greedy,Paris_2_1024.map,1294,1294,1,0,6.389120011590421,53.0
