Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Paris_1_512.map,487,958,1,0,14.603253977838904,0.0
A*,Paris_1_512.map,487,26630,1,0,195.57577298837714,705.0
Weighted A*,Paris_1_512.map,519,585,1,0,5.104717012727633,1646.0
Chance-Constrained A*,Paris_1_512.map,0,1048577,0,0,17363.280521996785,0.0
CVaR A*,Paris_1_512.map,0,1048577,0,0,19632.497694983613,0.0
Risk-Penalized A*,Paris_1_512.map,487,21783,1,0,185.1513890142087,0.0
Risk-Penalized Dijkstra,Paris_1_512.map,487,182637,1,0,1937.2301919793244,0.0
Risk-Penalized Greedy,Paris_1_512.map,525,525,1,0,5.214647011598572,206.0
BFS,Paris_1_512.map,487,188620,1,0,831.0840019839816,705.0
DFS,Paris_1_512.map,16319,112360,1,0,407.6368660025764,22395.0
Dijkstra,Paris_1_512.map,487,188421,1,0,1493.087242997717,705.0
Greedy,Paris_1_512.map,525,534,1,0,4.8497219977434725,1722.0
