Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Milan_1_1024.map,1116,124529,1,0,1130.8013410016429,0.0
A*,Milan_1_1024.map,1116,128483,1,0,1012.2572369873524,1958.0
Weighted A*,Milan_1_1024.map,1334,18801,1,0,217.20770400133915,3931.0
Chance-Constrained A*,Milan_1_1024.map,0,4194305,0,0,221578.57851701556,0.0
CVaR A*,Milan_1_1024.map,0,4194305,0,0,372020.0588910084,0.0
Risk-Penalized A*,Milan_1_1024.map,1116,124529,1,0,1168.0340839957353,0.0
Risk-Penalized Dijkstra,Milan_1_1024.map,1116,618975,1,0,6254.189413011773,0.0
Risk-Penalized Greedy,Milan_1_1024.map,1394,3126,1,0,29.994547978276387,379.0
BFS,Milan_1_1024.map,1116,623736,1,0,3158.485769003164,1122.0
DFS,Milan_1_1024.map,111984,470319,1,0,1954.1525809909217,39191.0
Dijkstra,Milan_1_1024.map,1116,623588,1,0,5984.121910005342,1958.0
Greedy,Milan_1_1024.map,1386,2845,1,0,25.517529022181407,4576.0
