Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Moscow_0_1024.map,1162,248436,1,0,4959.152759984136,302.0
A*,Moscow_0_1024.map,1162,250949,1,0,2270.07852299721,3292.0
Weighted A*,Moscow_0_1024.map,1218,69191,1,0,709.8164909984916,3342.0
Chance-Constrained A*,Moscow_0_1024.map,0,4194305,0,0,111157.10933701484,0.0
CVaR A*,Moscow_0_1024.map,0,4194305,0,0,185959.57295200787,0.0
Risk-Penalized A*,Moscow_0_1024.map,1166,249655,1,0,2689.6506659977604,0.0
Risk-Penalized Dijkstra,Moscow_0_1024.map,1166,763814,1,0,8759.779220010387,0.0
Risk-Penalized Greedy,Moscow_0_1024.map,1542,19213,1,0,146.8440080061555,1056.0
BFS,Moscow_0_1024.map,1162,765142,1,0,3752.131635992555,3292.0
DFS,Moscow_0_1024.map,44532,614260,1,0,2774.818484991556,31983.0
Dijkstra,Moscow_0_1024.map,1162,764971,1,0,7218.265933013754,3292.0
Greedy,Moscow_0_1024.map,1586,18361,1,0,128.60609599738382,7339.0
