Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,London_1_512.map,642,71038,1,0,1002.8345530154184,655.0
A*,London_1_512.map,642,71475,1,0,544.7605010122061,2350.0
Weighted A*,London_1_512.map,666,7314,1,0,60.85117402835749,2146.0
Chance-Constrained A*,London_1_512.map,0,1048577,0,0,21254.308052011766,0.0
CVaR A*,London_1_512.map,0,1048577,0,0,22201.222516974667,0.0
Risk-Penalized A*,London_1_512.map,680,76332,1,0,934.9746369989589,18.0
Risk-Penalized Dijkstra,London_1_512.map,680,185048,1,0,1680.2118019841146,18.0
Risk-Penalized Greedy,London_1_512.map,962,4895,1,0,36.14186399499886,1029.0
BFS,London_1_512.map,642,186379,1,0,744.1415910143405,1732.0
DFS,London_1_512.map,5190,45713,1,0,153.53582499665208,9029.0
Dijkstra,London_1_512.map,642,186296,1,0,1396.7650620033965,1622.0
Greedy,London_1_512.map,982,4818,1,0,31.05205000611022,5172.0
