Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Paris_0_512.map,598,20558,1,0,550.1203069870826,40.0
A*,Paris_0_512.map,598,28189,1,0,320.56268901214935,2414.0
Weighted A*,Paris_0_512.map,606,675,1,0,6.830647005699575,2119.0
Chance-Constrained A*,Paris_0_512.map,0,1048577,0,0,21273.07637699414,0.0
CVaR A*,Paris_0_512.map,0,1048577,0,0,21749.79848298244,0.0
Risk-Penalized A*,Paris_0_512.map,602,21882,1,0,236.20258099981584,0.0
Risk-Penalized Dijkstra,Paris_0_512.map,602,175690,1,0,1628.091279999353,0.0
Risk-Penalized Greedy,Paris_0_512.map,624,654,1,0,6.743432022631168,130.0
BFS,Paris_0_512.map,598,179565,1,0,727.2343350050505,1639.0
DFS,Paris_0_512.map,45890,150441,1,0,440.3554020100273,40930.0
Dijkstra,Paris_0_512.map,598,179319,1,0,1339.9872590089217,2414.0
Greedy,Paris_0_512.map,612,630,1,0,5.633793014567345,2205.0
