Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Denver_1_1024.map,1234,188733,1,0,3296.3791160145774,2471.0
A*,Denver_1_1024.map,1234,194803,1,0,2090.6950919888914,3542.0
Weighted A*,Denver_1_1024.map,1268,3157,1,0,28.206207003677264,4080.0
Chance-Constrained A*,Denver_1_1024.map,0,4194305,0,0,107340.55833501043,0.0
CVaR A*,Denver_1_1024.map,0,4194305,0,0,101397.13388797827,0.0
Risk-Penalized A*,Denver_1_1024.map,1238,189986,1,0,2019.1542489919811,0.0
Risk-Penalized Dijkstra,Denver_1_1024.map,1238,735004,1,0,8246.264067012817,0.0
Risk-Penalized Greedy,Denver_1_1024.map,1276,2142,1,0,21.4826799929142,62.0
BFS,Denver_1_1024.map,1234,735734,1,0,3816.2448280199897,3834.0
DFS,Denver_1_1024.map,63790,523691,1,0,2293.950530991424,30990.0
Dijkstra,Denver_1_1024.map,1234,735240,1,0,6358.400452008937,2641.0
Greedy,Denver_1_1024.map,1268,2035,1,0,16.769900976214558,4080.0
