Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Moscow_2_512.map,808,67584,1,0,684.7143110062461,52.0
A*,Moscow_2_512.map,808,78827,1,0,704.3835049844347,2112.0
Weighted A*,Moscow_2_512.map,834,1436,1,0,12.872885999968275,2239.0
Chance-Constrained A*,Moscow_2_512.map,0,1048577,0,0,34290.48132902244,0.0
CVaR A*,Moscow_2_512.map,0,1048577,0,0,40087.76254602708,0.0
Risk-Penalized A*,Moscow_2_512.map,816,71896,1,0,900.4084079933818,3.0
Risk-Penalized Dijkstra,Moscow_2_512.map,816,187656,1,0,2633.131131005939,3.0
Risk-Penalized Greedy,Moscow_2_512.map,922,1650,1,0,39.59251497872174,188.0
BFS,Moscow_2_512.map,808,189535,1,0,833.2282939809375,1991.0
DFS,Moscow_2_512.map,23196,149658,1,0,785.4475249769166,26599.0
Dijkstra,Moscow_2_512.map,808,189424,1,0,1925.4701460013166,2112.0
Greedy,Moscow_2_512.map,916,1535,1,0,22.355018008966,2175.0
