Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Milan_0_512.map,510,21605,1,0,302.3205009812955,6.0
A*,Milan_0_512.map,510,22655,1,0,159.41789801581763,154.0
Weighted A*,Milan_0_512.map,510,552,1,0,5.211090989178047,154.0
Chance-Constrained A*,Milan_0_512.map,0,1048577,0,0,20302.266168000642,0.0
CVaR A*,Milan_0_512.map,0,1048577,0,0,22902.668410999468,0.0
Risk-Penalized A*,Milan_0_512.map,512,22453,1,0,240.86772699956782,1.0
Risk-Penalized Dijkstra,Milan_0_512.map,512,163314,1,0,1686.4828809921164,1.0
Risk-Penalized Greedy,Milan_0_512.map,516,516,1,0,6.302245979895815,38.0
BFS,Milan_0_512.map,510,165780,1,0,708.4367900097277,154.0
DFS,Milan_0_512.map,22462,70124,1,0,242.1471560082864,23138.0
Dijkstra,Milan_0_512.map,510,165500,1,0,1335.274438984925,154.0
Greedy,Milan_0_512.map,520,520,1,0,5.877941002836451,243.0
