Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Sydney_0_1024.map,1388,223352,1,0,3361.0646430170164,190.0
A*,Sydney_0_1024.map,1388,223592,1,0,2535.1027229917236,2096.0
Weighted A*,Sydney_0_1024.map,1508,6197,1,0,108.85801099357195,5473.0
Chance-Constrained A*,Sydney_0_1024.map,0,4194305,0,0,110918.27402499621,0.0
CVaR A*,Sydney_0_1024.map,0,4194305,0,0,110462.4796739954,0.0
Risk-Penalized A*,Sydney_0_1024.map,1396,222701,1,0,2617.020870995475,0.0
Risk-Penalized Dijkstra,Sydney_0_1024.map,1396,780313,1,0,8704.698133020429,0.0
Risk-Penalized Greedy,Sydney_0_1024.map,1558,2808,1,0,42.71520400652662,407.0
BFS,Sydney_0_1024.map,1388,780118,1,0,4365.18901900854,3634.0
DFS,Sydney_0_1024.map,79002,602103,1,0,3715.013816981809,34077.0
Dijkstra,Sydney_0_1024.map,1388,779829,1,0,9665.650734008523,2096.0
Greedy,Sydney_0_1024.map,1544,2676,1,0,32.24352601682767,5906.0
