Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Shanghai_1_512.map,640,39720,1,0,360.02688598819077,0.0
A*,Shanghai_1_512.map,640,49212,1,0,369.9598300154321,925.0
Weighted A*,Shanghai_1_512.map,648,714,1,0,7.007656007772312,1007.0
Chance-Constrained A*,Shanghai_1_512.map,0,1048577,0,0,20501.582163997227,0.0
CVaR A*,Shanghai_1_512.map,0,1048577,0,0,22350.658198003657,0.0
Risk-Penalized A*,Shanghai_1_512.map,640,39720,1,0,444.06240599346347,0.0
Risk-Penalized Dijkstra,Shanghai_1_512.map,640,175527,1,0,1725.330020999536,0.0
Risk-Penalized Greedy,Shanghai_1_512.map,656,656,1,0,8.613066020188853,45.0
BFS,Shanghai_1_512.map,640,176151,1,0,817.5108720024582,1085.0
DFS,Shanghai_1_512.map,25112,152125,1,0,697.4979320075363,22882.0
Dijkstra,Shanghai_1_512.map,640,176145,1,0,1415.9545290167443,925.0
Greedy,Shanghai_1_512.map,662,665,1,0,7.091673993272707,1268.0
