Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Shanghai_2_256.map,380,18217,1,0,154.1325500002131,13.0
A*,Shanghai_2_256.map,380,18850,1,0,196.82017900049686,1250.0
Weighted A*,Shanghai_2_256.map,402,890,1,0,13.239922001957893,1397.0
Chance-Constrained A*,Shanghai_2_256.map,0,262145,0,0,6370.545951998793,0.0
CVaR A*,Shanghai_2_256.map,0,262145,0,0,5782.360163022531,0.0
Risk-Penalized A*,Shanghai_2_256.map,380,19782,1,0,430.63122298917733,13.0
Risk-Penalized Dijkstra,Shanghai_2_256.map,380,47069,1,0,574.0851759910583,13.0
Risk-Penalized Greedy,Shanghai_2_256.map,420,658,1,0,6.2888120010029525,114.0
BFS,Shanghai_2_256.map,380,47340,1,0,215.6955290120095,1063.0
DFS,Shanghai_2_256.map,9090,43043,1,0,183.08359399088658,14141.0
Dijkstra,Shanghai_2_256.map,380,47316,1,0,370.7853320229333,1250.0
Greedy,Shanghai_2_256.map,416,635,1,0,4.758785013109446,1552.0
