Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Berlin_1_256.map,283,3615,1,0,36.762269999599084,198.0
A*,Berlin_1_256.map,283,5084,1,0,38.79212701576762,785.0
Weighted A*,Berlin_1_256.map,299,598,1,0,5.228310008533299,678.0
Chance-Constrained A*,Berlin_1_256.map,0,262145,0,0,4369.584732019575,0.0
CVaR A*,Berlin_1_256.map,0,262145,0,0,4367.158284003381,0.0
Risk-Penalized A*,Berlin_1_256.map,297,8065,1,0,60.774600016884506,5.0
Risk-Penalized Dijkstra,Berlin_1_256.map,297,45448,1,0,347.4623590009287,5.0
Risk-Penalized Greedy,Berlin_1_256.map,317,1384,1,0,10.099270002683625,217.0
BFS,Berlin_1_256.map,283,46122,1,0,164.32744901976548,1297.0
DFS,Berlin_1_256.map,5851,36207,1,0,103.23189600603655,13141.0
Dijkstra,Berlin_1_256.map,283,46120,1,0,268.79498301423155,785.0
Greedy,Berlin_1_256.map,319,347,1,0,2.6588969922158867,1218.0
