Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Shanghai_2_512.map,636,51125,1,0,513.3652600052301,2.0
A*,Shanghai_2_512.map,636,57327,1,0,475.70862199063413,1555.0
Weighted A*,Shanghai_2_512.map,694,12310,1,0,130.5889260256663,1703.0
Chance-Constrained A*,Shanghai_2_512.map,0,1048577,0,0,21374.99367300188,0.0
CVaR A*,Shanghai_2_512.map,0,1048577,0,0,28983.848964999197,0.0
Risk-Penalized A*,Shanghai_2_512.map,636,50251,1,0,537.1847950154915,2.0
Risk-Penalized Dijkstra,Shanghai_2_512.map,636,190845,1,0,1928.3637430053204,2.0
Risk-Penalized Greedy,Shanghai_2_512.map,832,7656,1,0,107.70062200026587,48.0
BFS,Shanghai_2_512.map,636,191376,1,0,1554.5702790259384,3322.0
DFS,Shanghai_2_512.map,22292,142823,1,0,543.2916019926779,25741.0
Dijkstra,Shanghai_2_512.map,636,191234,1,0,2481.91029499867,1555.0
Greedy,Shanghai_2_512.map,852,7504,1,0,70.0163469882682,2313.0
