Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Shanghai_0_1024.map,1522,40665,1,0,941.1590100207832,125.0
A*,Shanghai_0_1024.map,1522,240580,1,0,2258.7305670022033,4086.0
Weighted A*,Shanghai_0_1024.map,1586,6456,1,0,53.01623899140395,3727.0
Chance-Constrained A*,Shanghai_0_1024.map,0,4194305,0,0,331709.6153390012,0.0
CVaR A*,Shanghai_0_1024.map,0,4194305,0,0,116707.06870799768,0.0
Risk-Penalized A*,Shanghai_0_1024.map,1522,220421,1,0,2350.699511996936,125.0
Risk-Penalized Dijkstra,Shanghai_0_1024.map,1522,782504,1,0,8831.342663994292,125.0
Risk-Penalized Greedy,Shanghai_0_1024.map,1596,2816,1,0,29.24783801427111,162.0
BFS,Shanghai_0_1024.map,1522,782669,1,0,3875.9691230079625,4086.0
DFS,Shanghai_0_1024.map,96826,218697,1,0,689.1935059975367,17707.0
Dijkstra,Shanghai_0_1024.map,1522,782541,1,0,7688.85744997533,4086.0
Greedy,Shanghai_0_1024.map,1594,2688,1,0,23.751664004521444,3988.0
