Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,London_1_1024.map,1280,72858,1,0,1038.7667609902564,1247.0
A*,London_1_1024.map,1280,113688,1,0,887.8678689943627,4558.0
Weighted A*,London_1_1024.map,1394,22018,1,0,215.40428401203826,5869.0
Chance-Constrained A*,London_1_1024.map,0,4194305,0,0,154705.12548400438,0.0
CVaR A*,London_1_1024.map,0,4194305,0,0,120837.1777489956,0.0
Risk-Penalized A*,London_1_1024.map,1300,118982,1,0,1135.7464170141611,6.0
Risk-Penalized Dijkstra,London_1_1024.map,1300,702213,1,0,7833.216104016174,6.0
Risk-Penalized Greedy,London_1_1024.map,1454,1847,1,0,18.748386995866895,965.0
BFS,London_1_1024.map,1280,705840,1,0,4147.937485977309,4558.0
DFS,London_1_1024.map,38044,489924,1,0,2338.1993109942414,44985.0
Dijkstra,London_1_1024.map,1280,705153,1,0,6619.52096701134,4558.0
Greedy,London_1_1024.map,1476,1722,1,0,15.168947982601821,6799.0
