Algorithm,Map,Path_Length,Visited,Success,Hesitations,Time_ms,Path_Risk_Score
ZEN,Berlin_0_512.map,741,36035,1,0,337.9934830009006,0.0
A*,Berlin_0_512.map,741,40679,1,0,307.59836299694143,2811.0
Weighted A*,Berlin_0_512.map,781,6256,1,0,60.29011501232162,2867.0
Chance-Constrained A*,Berlin_0_512.map,0,1048577,0,0,18271.11365602468,0.0
CVaR A*,Berlin_0_512.map,0,1048577,0,0,20924.85510802362,0.0
Risk-Penalized A*,Berlin_0_512.map,741,36249,1,0,328.1737180077471,0.0
Risk-Penalized Dijkstra,Berlin_0_512.map,741,173106,1,0,1706.2332379864529,0.0
Risk-Penalized Greedy,Berlin_0_512.map,1115,4247,1,0,34.649117005756125,556.0
BFS,Berlin_0_512.map,741,174025,1,0,791.8951050087344,2123.0
DFS,Berlin_0_512.map,9263,132993,1,0,501.59121199976653,9098.0
Dijkstra,Berlin_0_512.map,741,173815,1,0,1344.676910986891,2811.0
Greedy,Berlin_0_512.map,1157,3911,1,0,25.75068300939165,6250.0
